Date,Activity,Activity type,Unit,Amount executed
2025-12-09,Coat preparation,Road,L,4826.786209352342
2025-01-26,Removing trees,Building,m2,970.3261042980205
2025-08-10,Cement making,Building,m3,4461.963632528181
2025-09-29,Removing trees,Building,m2,586.1269914640754
2025-10-03,Cement making,Building,m3,3872.15915708461
2025-03-17,Ballast,Railway,m3,4568.167277842819
2025-08-12,Cement making,Building,m3,2587.692555809661
2025-07-01,Rolling/Tractor,Road,m2,237.30496377237287
2025-04-03,Ballast,Railway,m3,2996.3440060195967
2025-01-04,Foundation pouring,Building,m3,2228.080670480079
2025-08-02,Subbase application,Road,m2,1808.5130579911713
2025-06-05,Removing trees,Building,m2,1679.770905899678
2025-02-25,Cement making,Building,m3,2617.0348096416146
2025-03-14,Anchorage,Railway,m2,3845.9222493469983
2025-09-22,Cement making,Building,m3,2272.5385649030477
2025-08-09,Pavement,Road,m2,2593.26659287179
2025-02-15,Terrain leveling,Building,m3,4158.410770754034
2025-06-20,Pavement,Road,m2,3538.984163958815
2025-02-12,Laying steel rail,Railway,m,2760.7832959994535
2025-03-21,Iron mining,Railway,m3,3591.07593984582
2025-10-18,Laying steel rail,Railway,m,451.2065955137673
2025-08-10,Terrain leveling,Building,m3,3571.2712571441198
2025-11-05,Rolling/Tractor,Road,m2,3004.84516987142
2025-10-29,Subbase application,Road,m2,308.9266046661587
2025-12-02,Walling,Building,m2,4796.613745609584
2025-09-16,Walling,Building,m2,1977.664692351424
2025-11-25,Terrain leveling,Building,m3,4692.452463811041
2025-09-27,Subbase application,Road,m2,2618.302466342206
2025-08-14,Iron mining,Railway,m3,4583.141986874438
2025-03-10,Terrain leveling,Building,m3,2350.566848759924
2025-06-04,Coat preparation,Road,L,4103.225202396762
2025-12-26,Rolling/Tractor,Road,m2,55.19951429785175
2025-06-09,Cement making,Building,m3,3006.7036323323164
2025-03-13,Subbase application,Road,m2,624.6888495153869
2025-06-24,Ballast,Railway,m3,4712.513498931713
2025-09-14,Rolling/Tractor,Road,m2,4786.804198676785
2025-04-06,Pavement,Road,m2,1824.0663593499917
2025-08-12,Rolling/Tractor,Road,m2,3036.4641987284112
2025-12-28,Terrain leveling,Building,m3,2715.4283479795404
2025-12-27,Subbase application,Road,m2,1138.7695256966974
2025-12-28,Cement making,Building,m3,4168.451538466854
2025-03-29,Ballast,Railway,m3,1744.1429001410636
2025-12-26,Terrain leveling,Building,m3,2256.1928035404717
2025-03-13,Ballast,Railway,m3,3874.7081968784123
2025-07-20,Anchorage,Railway,m2,4273.440202122759
2025-04-07,Coat preparation,Road,L,4872.938847990207
2025-02-06,Subbase application,Road,m2,199.69564123589467
2025-09-06,Ballast,Railway,m3,1057.2189533276871
2025-09-29,Iron mining,Railway,m3,487.479536726802
2025-02-24,Removing trees,Building,m2,996.6748810131476
2025-01-10,Foundation pouring,Building,m3,2552.6390542791773
2025-07-22,Iron mining,Railway,m3,1426.2043965257503
2025-05-31,Anchorage,Railway,m2,4216.166924418781
2025-02-12,Removing trees,Building,m2,4283.189756370137
2025-07-24,Laying steel rail,Railway,m,1130.9305625277432
2025-09-25,Anchorage,Railway,m2,805.4394753461669
2025-05-09,Coat preparation,Road,L,403.1201310053589
2025-04-23,Laying steel rail,Railway,m,715.3421882137956
2025-09-17,Ballast,Railway,m3,4777.974886362345
2025-10-18,Coat preparation,Road,L,2092.2882465999082
2025-09-02,Foundation pouring,Building,m3,4852.626523816768
2025-05-15,Ballast,Railway,m3,2952.7669940607416
2025-07-25,Ballast,Railway,m3,4365.281056069811
2025-08-23,Anchorage,Railway,m2,3898.168063314802
2025-07-06,Terrain leveling,Building,m3,108.39606672675916
2025-10-05,Removing trees,Building,m2,1521.6075990389854
2025-09-09,Subbase application,Road,m2,4952.307457845009
2025-10-04,Laying steel rail,Railway,m,3888.8014773451046
2025-04-10,Iron mining,Railway,m3,4732.626079104445
2025-07-04,Walling,Building,m2,3110.272431867425
2025-03-08,Foundation pouring,Building,m3,1846.7253926737742
2025-02-24,Coat preparation,Road,L,4323.492805024338
2025-02-13,Cement making,Building,m3,678.2167847430647
2025-04-07,Laying steel rail,Railway,m,2808.8288566944793
2025-09-01,Walling,Building,m2,4889.288926623982
2025-06-12,Rolling/Tractor,Road,m2,4211.61350453068
2025-11-01,Subbase application,Road,m2,14.364084005156208
2025-10-26,Foundation pouring,Building,m3,1157.9736129587598
2025-04-06,Rolling/Tractor,Road,m2,2089.25727760774
2025-09-04,Removing trees,Building,m2,4892.171173377603
2025-12-19,Removing trees,Building,m2,551.882472189234
2025-11-06,Pavement,Road,m2,3870.583611702935
2025-09-14,Foundation pouring,Building,m3,4756.823404803993
2025-04-10,Foundation pouring,Building,m3,3698.7879322851786
2025-08-10,Pavement,Road,m2,4919.499621753807
2025-09-06,Cement making,Building,m3,2054.676222898298
2025-11-21,Cement making,Building,m3,1518.2613758447949
2025-08-09,Iron mining,Railway,m3,3697.605175567816
2025-04-23,Iron mining,Railway,m3,4365.992493788721
2025-05-27,Pavement,Road,m2,3701.175108858871
2025-06-04,Terrain leveling,Building,m3,3057.510789704661
2025-02-12,Foundation pouring,Building,m3,1279.577592218412
2025-03-14,Pavement,Road,m2,2005.4217204643915
2025-01-06,Anchorage,Railway,m2,3103.199028738793
2025-10-18,Walling,Building,m2,3104.6759590304628
2025-06-06,Foundation pouring,Building,m3,2651.3174628796655
2025-08-25,Coat preparation,Road,L,383.84926878123724
2025-10-05,Cement making,Building,m3,3745.6623135610866
2025-10-10,Anchorage,Railway,m2,4087.425190979765
2025-06-06,Pavement,Road,m2,0.09157517384839053
2025-09-02,Rolling/Tractor,Road,m2,125.81193817782888
2025-10-18,Ballast,Railway,m3,2044.7942080107084
2025-05-15,Ballast,Railway,m3,2975.5335856724723
2025-03-02,Subbase application,Road,m2,3308.771084457782
2025-08-15,Iron mining,Railway,m3,17.45262607849629
2025-05-14,Removing trees,Building,m2,4126.7564763450555
2025-01-31,Pavement,Road,m2,4181.818092354482
2025-10-27,Foundation pouring,Building,m3,4465.4792952020525
2025-11-22,Iron mining,Railway,m3,4200.594511703995
2025-07-30,Ballast,Railway,m3,612.8570501446096
2025-03-27,Iron mining,Railway,m3,1934.4762581123575
2025-07-16,Cement making,Building,m3,1450.3773751530057
2025-10-23,Foundation pouring,Building,m3,4188.179018327933
2025-06-04,Laying steel rail,Railway,m,125.93002736618453
2025-06-01,Cement making,Building,m3,4306.342142059792
2025-11-03,Subbase application,Road,m2,1988.4733657169013
2025-03-13,Pavement,Road,m2,2166.3669318821467
2025-03-26,Subbase application,Road,m2,948.2697765515541
2025-07-27,Walling,Building,m2,75.83615404681221
2025-11-02,Laying steel rail,Railway,m,3132.53566661945
2025-11-09,Anchorage,Railway,m2,2522.237759016688
2025-03-03,Walling,Building,m2,1946.0806564732159
2025-09-01,Iron mining,Railway,m3,2802.388653449043
2025-11-14,Ballast,Railway,m3,784.1367372072283
2025-09-23,Terrain leveling,Building,m3,728.4056891555568
2025-07-13,Coat preparation,Road,L,3528.721189474019
2025-07-04,Foundation pouring,Building,m3,3925.878264399601
2025-06-06,Laying steel rail,Railway,m,1173.5487529792165
2025-03-25,Removing trees,Building,m2,2626.9991475835936
2025-09-06,Coat preparation,Road,L,2033.09367665495
2025-10-05,Rolling/Tractor,Road,m2,3345.1327354720274
2025-05-17,Foundation pouring,Building,m3,4800.65732932883
2025-02-22,Anchorage,Railway,m2,2785.340312854892
2025-04-09,Coat preparation,Road,L,1514.3487212237044
2025-05-12,Rolling/Tractor,Road,m2,1794.796445093893
2025-04-25,Laying steel rail,Railway,m,2289.2567943993854
2025-06-20,Removing trees,Building,m2,2944.2875779940227
2025-04-14,Pavement,Road,m2,483.6477989266386
2025-11-04,Removing trees,Building,m2,4422.8794697677085
2025-11-25,Terrain leveling,Building,m3,1026.03273827597
2025-05-15,Terrain leveling,Building,m3,647.5896657751695
2025-11-22,Walling,Building,m2,2662.042992043934
2025-07-29,Cement making,Building,m3,4273.057910674207
2025-04-16,Iron mining,Railway,m3,1343.2353407845753
2025-11-08,Ballast,Railway,m3,3926.7344584924317
2025-07-18,Pavement,Road,m2,316.606783139875
2025-07-10,Subbase application,Road,m2,2896.305165809626
2025-08-11,Foundation pouring,Building,m3,1360.4914932598656
2025-09-16,Subbase application,Road,m2,420.65395271696224
2025-01-11,Pavement,Road,m2,1210.7629755820126
2025-07-20,Subbase application,Road,m2,3055.690024260728
2025-07-14,Foundation pouring,Building,m3,426.398929583896
2025-09-21,Terrain leveling,Building,m3,3533.283628205528
2025-05-14,Terrain leveling,Building,m3,635.3417575062215
2025-05-25,Foundation pouring,Building,m3,446.1873716354553
2025-03-11,Cement making,Building,m3,2394.491021554604
2025-07-09,Subbase application,Road,m2,4174.356739852822
2025-04-07,Terrain leveling,Building,m3,3390.2010233924884
2025-10-06,Walling,Building,m2,2528.1021393580995
2025-09-08,Laying steel rail,Railway,m,1730.8559771684945
2025-11-25,Anchorage,Railway,m2,4289.942868965099
2025-09-24,Pavement,Road,m2,1958.326708571278
2025-06-14,Foundation pouring,Building,m3,2968.2177833534624
2025-05-29,Iron mining,Railway,m3,2682.1398017663496
2025-02-04,Pavement,Road,m2,2769.130257325062
2025-02-02,Pavement,Road,m2,1455.1453631689521
2025-11-19,Rolling/Tractor,Road,m2,4797.037130312413
2025-09-28,Iron mining,Railway,m3,4432.857796135925
2025-01-15,Laying steel rail,Railway,m,411.87624693308555
2025-01-14,Ballast,Railway,m3,4245.3527167404145
2025-02-05,Foundation pouring,Building,m3,4223.49072512894
2025-10-07,Terrain leveling,Building,m3,3349.8842745682177
2025-08-24,Laying steel rail,Railway,m,3460.4383936945783
2025-11-19,Ballast,Railway,m3,2397.881296529164
2025-10-05,Iron mining,Railway,m3,100.24629826107967
2025-05-15,Coat preparation,Road,L,2049.6852600762745
2025-10-01,Removing trees,Building,m2,4732.930621627637
2025-02-04,Coat preparation,Road,L,4396.7024332644805
2025-11-25,Cement making,Building,m3,1303.2621251543342
2025-12-03,Iron mining,Railway,m3,4130.306016152831
2025-06-24,Iron mining,Railway,m3,2652.4292762894524
2025-05-05,Foundation pouring,Building,m3,3740.9756935660116
2025-06-23,Iron mining,Railway,m3,778.4806874944655
2025-05-27,Iron mining,Railway,m3,2985.317177502054
2025-11-17,Cement making,Building,m3,1438.6896785752963
2025-04-13,Subbase application,Road,m2,1252.630932580267
2025-04-30,Removing trees,Building,m2,716.5723671113044
2025-10-25,Walling,Building,m2,3160.8728356358724
2025-08-27,Laying steel rail,Railway,m,421.9144910291228
2025-09-06,Coat preparation,Road,L,62.78895296841836
2025-11-08,Cement making,Building,m3,3243.392908855922
2025-09-09,Walling,Building,m2,3229.7250513168087
2025-04-08,Anchorage,Railway,m2,1849.149829016437
2025-05-13,Walling,Building,m2,2370.4943241553156
2025-12-15,Terrain leveling,Building,m3,159.32611723617595
2025-10-01,Foundation pouring,Building,m3,137.48740176459717
2025-10-31,Subbase application,Road,m2,4683.765308403832
2025-08-04,Anchorage,Railway,m2,158.05772107310324
2025-03-02,Anchorage,Railway,m2,3624.9444795029417
2025-07-10,Removing trees,Building,m2,1426.6355660625175
2025-11-05,Laying steel rail,Railway,m,1747.1109231071962
2025-12-16,Coat preparation,Road,L,3106.872071467336
2025-01-29,Pavement,Road,m2,2273.4239593602438
2025-11-01,Coat preparation,Road,L,3662.6756073014094
2025-02-08,Foundation pouring,Building,m3,4118.821441816129
2025-10-02,Laying steel rail,Railway,m,985.891383811322
2025-10-25,Ballast,Railway,m3,4031.9101306999614
2025-04-01,Walling,Building,m2,2774.607900759427
2025-12-29,Anchorage,Railway,m2,4998.376753344339
2025-10-07,Removing trees,Building,m2,4782.02496106139
2025-08-10,Laying steel rail,Railway,m,2954.538900783494
2025-07-07,Terrain leveling,Building,m3,4878.26166645063
2025-11-26,Cement making,Building,m3,235.40624398991682
2025-05-04,Cement making,Building,m3,807.5281953617886
2025-05-07,Iron mining,Railway,m3,2609.07427923006
2025-12-06,Subbase application,Road,m2,4476.265682209393
2025-05-15,Rolling/Tractor,Road,m2,4459.858182897598
2025-11-22,Rolling/Tractor,Road,m2,4954.033514475081
2025-09-10,Foundation pouring,Building,m3,3017.131426513194
2025-02-07,Walling,Building,m2,722.3705518237362
2025-06-02,Subbase application,Road,m2,185.54114819190337
2025-11-11,Subbase application,Road,m2,166.19200856425152
2025-01-06,Rolling/Tractor,Road,m2,1824.7136100405676
2025-02-10,Removing trees,Building,m2,1700.5313098756924
2025-09-23,Walling,Building,m2,2421.6721246895127
2025-12-27,Ballast,Railway,m3,4079.9607603787867
2025-07-02,Iron mining,Railway,m3,3275.2973195659233
2025-07-22,Ballast,Railway,m3,1400.603387953785
2025-01-03,Coat preparation,Road,L,3206.9535952470615
2025-04-25,Iron mining,Railway,m3,611.39625321588
2025-09-20,Foundation pouring,Building,m3,671.958618776955
2025-12-01,Subbase application,Road,m2,4272.70354754459
2025-06-30,Rolling/Tractor,Road,m2,4079.331850863383
2025-01-18,Removing trees,Building,m2,4091.3816637766713
2025-12-29,Pavement,Road,m2,4348.041664094168
2025-12-01,Rolling/Tractor,Road,m2,2911.2285312697827
2025-08-02,Subbase application,Road,m2,4811.972333427163
2025-05-19,Iron mining,Railway,m3,2320.036090052037
2025-03-10,Walling,Building,m2,2717.6281735787193
2025-04-11,Walling,Building,m2,557.2232444080821
2025-12-12,Pavement,Road,m2,3782.1210761684156
2025-12-15,Foundation pouring,Building,m3,661.6254765483903
2025-10-08,Cement making,Building,m3,3747.5729137599205
2025-02-19,Terrain leveling,Building,m3,1714.2327987017081
2025-01-11,Foundation pouring,Building,m3,4094.403549883026
2025-03-26,Cement making,Building,m3,3016.614827740046
2025-06-25,Walling,Building,m2,3182.1316211722715
2025-10-24,Subbase application,Road,m2,1247.9706512234118
2025-05-22,Terrain leveling,Building,m3,53.74546951045056
2025-04-28,Anchorage,Railway,m2,2192.071257267576
2025-03-12,Removing trees,Building,m2,4059.210702886746
2025-02-28,Walling,Building,m2,4884.076506149524
2025-11-24,Cement making,Building,m3,775.4819069640334
2025-03-16,Iron mining,Railway,m3,1844.9470580565508
2025-06-06,Laying steel rail,Railway,m,4484.030969265521
2025-10-02,Pavement,Road,m2,2030.9388589126493
2025-08-30,Laying steel rail,Railway,m,1631.3562351185913
2025-01-03,Iron mining,Railway,m3,4794.84457546345
2025-06-04,Walling,Building,m2,2271.500947536606
2025-08-26,Rolling/Tractor,Road,m2,335.9952516178788
2025-03-30,Ballast,Railway,m3,4859.989606819465
2025-04-04,Ballast,Railway,m3,3093.6825476674117
2025-06-16,Walling,Building,m2,932.8571859914264
2025-12-15,Ballast,Railway,m3,334.12559591212477
2025-11-12,Iron mining,Railway,m3,3019.0387842767886
2025-06-17,Cement making,Building,m3,3799.255089468103
2025-02-09,Foundation pouring,Building,m3,1565.1326963538793
2025-07-25,Removing trees,Building,m2,2965.6932590898095
2025-02-25,Terrain leveling,Building,m3,3023.63841444195
2025-02-27,Pavement,Road,m2,927.9947200381478
2025-11-12,Pavement,Road,m2,4503.776016878735
2025-10-18,Terrain leveling,Building,m3,2629.488768451798
2025-02-08,Walling,Building,m2,4301.860729288777
2025-11-11,Iron mining,Railway,m3,3559.321187623548
2025-10-09,Subbase application,Road,m2,3119.249645023518
2025-06-11,Foundation pouring,Building,m3,3792.2719257463077
2025-04-26,Subbase application,Road,m2,2102.806384190178
2025-09-10,Terrain leveling,Building,m3,2529.7775796293554
2025-09-08,Subbase application,Road,m2,4877.693821071392
2025-08-08,Walling,Building,m2,1.8082408446501441
2025-08-18,Foundation pouring,Building,m3,1216.5721833725024
2025-07-02,Pavement,Road,m2,3589.725517063311
2025-03-24,Iron mining,Railway,m3,1743.7505879212606
2025-05-08,Walling,Building,m2,444.2358181547612
2025-11-12,Laying steel rail,Railway,m,1307.7261943550384
2025-05-14,Laying steel rail,Railway,m,3298.6942040999534
2025-07-04,Ballast,Railway,m3,3180.400652667095
2025-10-28,Iron mining,Railway,m3,949.2983086436179
2025-10-22,Walling,Building,m2,2725.0531569459736
2025-01-05,Laying steel rail,Railway,m,307.5428587239981
2025-06-26,Pavement,Road,m2,396.1721305847726
2025-07-26,Rolling/Tractor,Road,m2,3578.4224049892405
2025-02-10,Removing trees,Building,m2,1030.214636885039
2025-06-01,Ballast,Railway,m3,4016.4220350300984
2025-12-13,Coat preparation,Road,L,104.34134966679498
2025-03-16,Removing trees,Building,m2,1630.8145910919575
2025-08-05,Subbase application,Road,m2,4586.601443782633
2025-05-20,Subbase application,Road,m2,4907.087190286735
2025-01-25,Terrain leveling,Building,m3,4891.748048342346
2025-08-08,Subbase application,Road,m2,71.69698959467175
2025-01-16,Cement making,Building,m3,2367.041396180981
2025-02-01,Rolling/Tractor,Road,m2,1126.4365655175923
2025-10-15,Foundation pouring,Building,m3,346.61144662368304
2025-06-28,Terrain leveling,Building,m3,24.49811934391255
2025-08-05,Laying steel rail,Railway,m,3675.153515071084
2025-11-10,Cement making,Building,m3,4145.2195819684275
2025-08-21,Rolling/Tractor,Road,m2,1365.2380559344901
2025-02-25,Subbase application,Road,m2,75.25775160046932
2025-09-19,Ballast,Railway,m3,2730.0272973750893
2025-06-29,Walling,Building,m2,2531.678841424148
2025-09-19,Iron mining,Railway,m3,1546.7683382073387
2025-08-18,Coat preparation,Road,L,1712.702693814473
2025-11-06,Ballast,Railway,m3,4037.5347578366
2025-02-11,Anchorage,Railway,m2,2064.4608238834235
2025-05-09,Subbase application,Road,m2,293.12175182244107
2025-12-12,Ballast,Railway,m3,1271.3946333227473
2025-11-10,Anchorage,Railway,m2,4163.968481623942
2025-07-09,Terrain leveling,Building,m3,2562.4503490291854
2025-05-10,Removing trees,Building,m2,2158.0538764722296
2025-05-23,Coat preparation,Road,L,1258.045865696401
2025-11-23,Anchorage,Railway,m2,1938.8301228960486
2025-04-25,Terrain leveling,Building,m3,1931.253894415485
2025-05-24,Pavement,Road,m2,2134.7478570628246
2025-10-11,Rolling/Tractor,Road,m2,4922.545154768425
2025-04-10,Terrain leveling,Building,m3,2243.4776946587785
2025-07-25,Terrain leveling,Building,m3,1016.8779864056227
2025-01-19,Laying steel rail,Railway,m,3935.621324990738
2025-10-18,Removing trees,Building,m2,4385.430547325883
2025-10-07,Pavement,Road,m2,3390.9705874810743
2025-01-19,Cement making,Building,m3,3916.7181939167945
2025-07-11,Rolling/Tractor,Road,m2,901.0367103637712
2025-01-03,Rolling/Tractor,Road,m2,4552.491824302938
2025-12-11,Terrain leveling,Building,m3,4669.83873634059
2025-02-10,Subbase application,Road,m2,2426.294516667554
2025-06-12,Removing trees,Building,m2,975.3605802128168
2025-12-23,Foundation pouring,Building,m3,2434.879282815616
2025-12-24,Walling,Building,m2,3910.6285466108375
2025-02-18,Anchorage,Railway,m2,297.2409884500365
2025-09-14,Laying steel rail,Railway,m,3209.326996018481
2025-05-23,Terrain leveling,Building,m3,4349.54396802454
2025-12-21,Subbase application,Road,m2,4938.96715736164
2025-05-31,Coat preparation,Road,L,2947.875896552694
2025-12-12,Iron mining,Railway,m3,3486.914918488588
2025-03-09,Iron mining,Railway,m3,1800.0247191167273
2025-09-14,Anchorage,Railway,m2,1502.5163090033604
2025-10-09,Laying steel rail,Railway,m,1202.248546683825
2025-01-13,Walling,Building,m2,1632.9609037883436
2025-02-15,Removing trees,Building,m2,631.5484586423886
2025-07-31,Terrain leveling,Building,m3,2701.5694882975986
2025-10-13,Ballast,Railway,m3,3536.882480364312
2025-07-22,Rolling/Tractor,Road,m2,734.4832908746856
2025-02-07,Anchorage,Railway,m2,2317.10095388442
2025-07-25,Ballast,Railway,m3,114.18092336547892
2025-09-07,Laying steel rail,Railway,m,186.501185311711
2025-08-06,Laying steel rail,Railway,m,2404.202534480614
2025-03-29,Anchorage,Railway,m2,962.572651189148
2025-11-30,Coat preparation,Road,L,3686.5965830964565
2025-04-11,Subbase application,Road,m2,4300.844635918746
2025-08-25,Coat preparation,Road,L,3829.0028025180713
2025-10-09,Pavement,Road,m2,4819.27963558489
2025-11-16,Pavement,Road,m2,2058.389175574325
2025-01-24,Walling,Building,m2,154.25630797987145
2025-12-24,Foundation pouring,Building,m3,3779.0822974295347
2025-12-03,Pavement,Road,m2,1761.1038201007796
2025-06-20,Ballast,Railway,m3,3309.0845915541845
2025-09-14,Anchorage,Railway,m2,1188.0380961426106
2025-09-30,Anchorage,Railway,m2,305.3037968632921
2025-09-11,Foundation pouring,Building,m3,4321.19321979132
2025-04-07,Anchorage,Railway,m2,4149.197137430341
2025-07-12,Terrain leveling,Building,m3,1412.6427217711491
2025-07-12,Terrain leveling,Building,m3,2622.7605862568835
2025-05-14,Cement making,Building,m3,1489.6074736716814
2025-02-22,Laying steel rail,Railway,m,4333.476125378165
2025-05-20,Rolling/Tractor,Road,m2,2412.59334550897
2025-05-01,Cement making,Building,m3,3667.831324660143
2025-11-28,Rolling/Tractor,Road,m2,1548.4899649116562
2025-10-29,Rolling/Tractor,Road,m2,3547.797250677971
2025-06-18,Removing trees,Building,m2,4881.589831942791
2025-07-30,Laying steel rail,Railway,m,3024.006794629199
2025-02-10,Removing trees,Building,m2,2765.290814821709
2025-06-21,Pavement,Road,m2,213.51658525160133
2025-12-13,Laying steel rail,Railway,m,3268.581347471459
2025-02-28,Laying steel rail,Railway,m,2338.5283609970456
2025-03-08,Pavement,Road,m2,1777.2654182288527
2025-06-25,Terrain leveling,Building,m3,564.2369916979001
2025-05-04,Iron mining,Railway,m3,4737.656526334584
2025-04-21,Terrain leveling,Building,m3,1997.3843879373583
2025-02-16,Walling,Building,m2,2981.911898790984
2025-06-09,Iron mining,Railway,m3,1979.8189958108558
2025-03-13,Coat preparation,Road,L,4235.4204708791685
2025-10-16,Anchorage,Railway,m2,3690.4725014274277
2025-07-25,Foundation pouring,Building,m3,1198.2119580111432
2025-01-15,Terrain leveling,Building,m3,1911.1029573837761
2025-12-13,Iron mining,Railway,m3,1019.1015992583036
2025-11-16,Terrain leveling,Building,m3,3581.7379063512517
2025-01-17,Iron mining,Railway,m3,4282.481166480965
2025-11-12,Subbase application,Road,m2,2796.1901180276727
2025-09-19,Subbase application,Road,m2,3526.9474058190085
2025-03-12,Iron mining,Railway,m3,100.86146316151957
2025-12-19,Terrain leveling,Building,m3,2270.3319993898263
2025-02-18,Terrain leveling,Building,m3,4155.263784307916
2025-09-08,Cement making,Building,m3,3969.5419791483723
2025-01-19,Walling,Building,m2,3893.5748130964957
2025-03-25,Subbase application,Road,m2,4972.697282415091
2025-06-03,Laying steel rail,Railway,m,555.8144269107934
2025-11-22,Coat preparation,Road,L,1486.4971876387006
2025-07-27,Pavement,Road,m2,206.93983019601458
2025-06-29,Foundation pouring,Building,m3,779.057808119487
2025-03-03,Subbase application,Road,m2,3363.7664494940777
2025-03-18,Removing trees,Building,m2,3147.5395294504697
2025-05-21,Laying steel rail,Railway,m,943.9364615311014
2025-08-30,Subbase application,Road,m2,714.9617581161976
2025-08-08,Coat preparation,Road,L,138.38555752215765
2025-06-13,Pavement,Road,m2,480.3347098151606
2025-12-05,Ballast,Railway,m3,4798.461958572064
2025-08-29,Coat preparation,Road,L,3563.621630020126
2025-10-02,Ballast,Railway,m3,3189.978657096683
2025-03-09,Walling,Building,m2,579.4635438447654
2025-10-10,Cement making,Building,m3,4277.350983110335
2025-11-04,Iron mining,Railway,m3,92.81566823143183
2025-05-07,Walling,Building,m2,3199.2830365680043
2025-07-27,Ballast,Railway,m3,191.7822111220896
2025-12-19,Terrain leveling,Building,m3,3030.284337450833
2025-10-28,Coat preparation,Road,L,2128.5203095619
2025-06-04,Subbase application,Road,m2,4896.071673040015
2025-12-22,Rolling/Tractor,Road,m2,3482.969519015982
2025-12-06,Pavement,Road,m2,741.4630031170356
2025-02-16,Rolling/Tractor,Road,m2,385.6426794315354
2025-01-20,Ballast,Railway,m3,4611.88528091747
2025-06-18,Foundation pouring,Building,m3,4468.386272601524
2025-03-16,Foundation pouring,Building,m3,888.6802732874211
2025-05-23,Pavement,Road,m2,3603.917770115821
2025-07-07,Terrain leveling,Building,m3,4057.9370942277565
2025-06-02,Removing trees,Building,m2,3338.439649686341
2025-12-26,Foundation pouring,Building,m3,3945.9329489927313
2025-03-21,Anchorage,Railway,m2,643.4822582087735
2025-03-10,Laying steel rail,Railway,m,934.1133648006395
2025-08-25,Pavement,Road,m2,2124.467952976382
2025-07-28,Laying steel rail,Railway,m,94.97253972525266
2025-07-24,Ballast,Railway,m3,1769.8291940549955
2025-07-23,Pavement,Road,m2,4948.632249652524
2025-01-09,Coat preparation,Road,L,4335.729391666797
2025-05-29,Subbase application,Road,m2,1219.2005228706748
2025-10-09,Terrain leveling,Building,m3,401.79589924296766
2025-10-12,Foundation pouring,Building,m3,2520.300448593457
2025-07-19,Pavement,Road,m2,351.4006783429552
2025-11-12,Rolling/Tractor,Road,m2,1880.0760781807958
2025-11-03,Coat preparation,Road,L,2108.9307595174796
2025-07-27,Foundation pouring,Building,m3,4846.445745611897
2025-04-27,Pavement,Road,m2,473.5614025703816
2025-11-11,Cement making,Building,m3,3121.7052894106696
2025-04-25,Cement making,Building,m3,3626.0310227708715
2025-06-16,Iron mining,Railway,m3,2149.4788004911447
2025-01-13,Ballast,Railway,m3,637.9577638939427
2025-09-03,Pavement,Road,m2,1313.5452369007085
2025-06-17,Walling,Building,m2,1102.8386602566409
2025-12-28,Iron mining,Railway,m3,1763.6798267644665
2025-03-11,Terrain leveling,Building,m3,1838.9139254049742
2025-10-04,Coat preparation,Road,L,1824.1588387780998
2025-11-09,Cement making,Building,m3,3725.8260159276983
2025-10-23,Rolling/Tractor,Road,m2,4291.179192218828
2025-01-15,Laying steel rail,Railway,m,3353.075636374189
2025-10-11,Walling,Building,m2,4120.718713795461
2025-05-31,Foundation pouring,Building,m3,1236.7007065965329
2025-04-30,Iron mining,Railway,m3,342.2408789678644
2025-04-20,Removing trees,Building,m2,1843.7438443551412
2025-07-07,Cement making,Building,m3,909.461811143148
2025-01-16,Removing trees,Building,m2,1728.6999116560492
2025-04-19,Walling,Building,m2,379.83664899068293
2025-06-18,Subbase application,Road,m2,3393.3744487552012
2025-02-22,Foundation pouring,Building,m3,4171.557622154106
2025-11-11,Iron mining,Railway,m3,4426.9455377698005
2025-07-27,Ballast,Railway,m3,1912.1330692516885
2025-01-26,Anchorage,Railway,m2,3446.3913662116556
2025-11-14,Anchorage,Railway,m2,406.85983276069203
2025-08-03,Foundation pouring,Building,m3,953.0712604852321
2025-11-25,Foundation pouring,Building,m3,1718.8957329914767
2025-11-02,Anchorage,Railway,m2,547.7814480254689
2025-12-08,Terrain leveling,Building,m3,1074.7674231055637
2025-01-17,Anchorage,Railway,m2,2837.0316633214243
2025-01-28,Terrain leveling,Building,m3,958.9485722827462
2025-10-12,Iron mining,Railway,m3,3635.007711598318
2025-10-15,Coat preparation,Road,L,2116.9317617655765
2025-06-14,Iron mining,Railway,m3,2770.4483104188175
2025-04-23,Coat preparation,Road,L,2885.7084837750367
2025-08-11,Pavement,Road,m2,4481.59986791683
2025-04-01,Laying steel rail,Railway,m,3560.8010438291226
2025-11-29,Ballast,Railway,m3,2296.040283521636
2025-06-09,Foundation pouring,Building,m3,1496.4477768006984
2025-09-26,Anchorage,Railway,m2,1700.3508695566477
2025-09-11,Subbase application,Road,m2,1536.0044800082535
2025-11-29,Terrain leveling,Building,m3,4296.636503096631
2025-04-23,Laying steel rail,Railway,m,4758.321212338679
2025-12-11,Terrain leveling,Building,m3,492.3671055890827
2025-05-13,Coat preparation,Road,L,587.3335901034144
2025-03-19,Removing trees,Building,m2,4784.9575709912915
2025-06-29,Foundation pouring,Building,m3,3090.324895785389
2025-07-26,Terrain leveling,Building,m3,3075.2928485477332
2025-02-28,Pavement,Road,m2,3938.5874428009815
