Date,Activity,Activity type,Unit,Amount planned
2025-07-29,Cement making,Building,m3,3682.2381097374355
2025-09-25,Foundation pouring,Building,m3,4284.601001328586
2025-02-13,Coat preparation,Road,L,1086.3315437359884
2025-08-13,Terrain leveling,Building,m3,1806.531516201736
2025-06-02,Laying steel rail,Railway,m,1761.3629013672687
2025-12-23,Coat preparation,Road,L,2414.762832472671
2025-02-11,Terrain leveling,Building,m3,2704.896340564578
2025-08-26,Terrain leveling,Building,m3,4627.820716428203
2025-10-29,Foundation pouring,Building,m3,1846.738037787894
2025-04-14,Terrain leveling,Building,m3,1875.7561665201588
2025-02-17,Rolling/Tractor,Road,m2,3213.8134388494127
2025-01-28,Foundation pouring,Building,m3,295.8841698773984
2025-08-15,Cement making,Building,m3,550.6795740069748
2025-11-02,Iron mining,Railway,m3,175.5343466888848
2025-10-30,Cement making,Building,m3,868.2538973538939
2025-08-14,Cement making,Building,m3,2508.645899774892
2025-07-16,Laying steel rail,Railway,m,228.62611309139692
2025-09-19,Rolling/Tractor,Road,m2,1481.3529881721415
2025-05-02,Rolling/Tractor,Road,m2,2268.419216948432
2025-06-03,Ballast,Railway,m3,909.8271639504668
2025-10-28,Subbase application,Road,m2,2514.14926038325
2025-05-08,Terrain leveling,Building,m3,3742.070001735198
2025-11-28,Iron mining,Railway,m3,1306.846104215587
2025-09-08,Subbase application,Road,m2,3708.9718187952
2025-12-11,Removing trees,Building,m2,95.6601102465665
2025-06-06,Iron mining,Railway,m3,2308.024378520899
2025-10-11,Cement making,Building,m3,3306.489349558585
2025-09-26,Foundation pouring,Building,m3,4249.229733279651
2025-05-19,Subbase application,Road,m2,3876.382797367779
2025-01-22,Iron mining,Railway,m3,4744.996302356011
2025-09-13,Anchorage,Railway,m2,3661.5631188550205
2025-06-26,Laying steel rail,Railway,m,1026.5314053387954
2025-06-14,Subbase application,Road,m2,1179.6745715874863
2025-10-08,Coat preparation,Road,L,1895.1964885043537
2025-02-17,Ballast,Railway,m3,2798.0063113257343
2025-11-04,Rolling/Tractor,Road,m2,3129.6036136350635
2025-04-28,Terrain leveling,Building,m3,3401.0294603035627
2025-01-31,Removing trees,Building,m2,1063.4279222595471
2025-02-24,Foundation pouring,Building,m3,3494.0665428365583
2025-07-03,Terrain leveling,Building,m3,3504.85034606566
2025-06-25,Walling,Building,m2,3466.107503010769
2025-08-28,Foundation pouring,Building,m3,3500.5093555847043
2025-09-11,Cement making,Building,m3,2543.884003926687
2025-07-28,Walling,Building,m2,853.440332211447
2025-05-25,Cement making,Building,m3,4630.896295505247
2025-11-25,Ballast,Railway,m3,118.74366242754897
2025-02-25,Rolling/Tractor,Road,m2,1408.0879514517187
2025-05-15,Iron mining,Railway,m3,2340.0144891841555
2025-05-11,Anchorage,Railway,m2,2555.6098661340325
2025-11-27,Walling,Building,m2,1605.6603707502716
2025-11-06,Terrain leveling,Building,m3,4875.299243178599
2025-03-26,Iron mining,Railway,m3,3633.245645907027
2025-03-11,Rolling/Tractor,Road,m2,2198.1966664331267
2025-02-11,Rolling/Tractor,Road,m2,1802.4576995050083
2025-12-13,Removing trees,Building,m2,2857.068672484739
2025-10-13,Rolling/Tractor,Road,m2,108.05574528365503
2025-11-26,Foundation pouring,Building,m3,4906.331134535323
2025-10-18,Coat preparation,Road,L,1382.5130710897677
2025-08-07,Subbase application,Road,m2,3256.1615806119967
2025-04-30,Removing trees,Building,m2,3317.612204181193
2025-04-10,Removing trees,Building,m2,4138.5214023623075
2025-09-14,Removing trees,Building,m2,2503.0279321713424
2025-06-20,Walling,Building,m2,3384.232214323311
2025-04-26,Subbase application,Road,m2,90.29902125134825
2025-11-27,Foundation pouring,Building,m3,515.4756905655872
2025-07-06,Removing trees,Building,m2,4209.316837696832
2025-06-28,Ballast,Railway,m3,3659.8138005909914
2025-10-05,Walling,Building,m2,2822.676449313801
2025-07-03,Terrain leveling,Building,m3,3392.12714908781
2025-09-07,Cement making,Building,m3,2946.4469773111337
2025-10-29,Subbase application,Road,m2,291.18575437770687
2025-05-25,Coat preparation,Road,L,3724.0140859937947
2025-08-27,Foundation pouring,Building,m3,1848.7215795972672
2025-06-17,Terrain leveling,Building,m3,2576.879222987181
2025-02-25,Coat preparation,Road,L,3341.0569428068156
2025-01-14,Anchorage,Railway,m2,2921.3021347308904
2025-12-19,Rolling/Tractor,Road,m2,2926.1360182922554
2025-02-12,Subbase application,Road,m2,3815.457363115531
2025-08-07,Walling,Building,m2,2981.1429450728374
2025-03-03,Terrain leveling,Building,m3,455.71680685089154
2025-02-25,Subbase application,Road,m2,4076.0980000759687
2025-08-15,Iron mining,Railway,m3,3974.5361519100716
2025-02-19,Iron mining,Railway,m3,4874.593644091466
2025-03-20,Laying steel rail,Railway,m,292.3347233331819
2025-03-02,Subbase application,Road,m2,161.23834114922298
2025-11-22,Anchorage,Railway,m2,4362.237402255013
2025-06-02,Removing trees,Building,m2,472.86135638550496
2025-01-28,Walling,Building,m2,524.4629476176793
2025-10-10,Laying steel rail,Railway,m,2922.913456020208
2025-05-31,Removing trees,Building,m2,4595.763472022878
2025-10-31,Iron mining,Railway,m3,4580.984133665342
2025-09-10,Subbase application,Road,m2,2982.2704248495534
2025-05-18,Terrain leveling,Building,m3,2636.494895215962
2025-11-16,Foundation pouring,Building,m3,479.3992550016929
2025-01-05,Terrain leveling,Building,m3,831.3896061591214
2025-05-04,Terrain leveling,Building,m3,2452.4781847506765
2025-05-31,Terrain leveling,Building,m3,2694.329050438119
2025-09-29,Pavement,Road,m2,4953.272526460179
2025-09-04,Laying steel rail,Railway,m,711.208116972103
2025-12-16,Coat preparation,Road,L,681.6835008525123
2025-06-01,Pavement,Road,m2,3095.8297023834098
2025-02-10,Rolling/Tractor,Road,m2,4944.143467520598
2025-11-08,Ballast,Railway,m3,3511.717832444275
2025-09-08,Pavement,Road,m2,3270.468240479332
2025-05-25,Foundation pouring,Building,m3,3282.170746204195
2025-03-24,Walling,Building,m2,743.4351246641924
2025-11-08,Cement making,Building,m3,3010.9257273746407
2025-12-12,Walling,Building,m2,3468.7552611817327
2025-02-12,Removing trees,Building,m2,3429.809729684302
2025-04-20,Cement making,Building,m3,3800.4149597280866
2025-12-07,Coat preparation,Road,L,1861.4230945774395
2025-12-24,Foundation pouring,Building,m3,754.9536462160567
2025-09-26,Iron mining,Railway,m3,1212.5737690133392
2025-09-19,Subbase application,Road,m2,3549.8808456782854
2025-04-11,Foundation pouring,Building,m3,1535.5330532924816
2025-09-04,Rolling/Tractor,Road,m2,3922.249609758476
2025-04-14,Terrain leveling,Building,m3,3156.303373038279
2025-10-29,Cement making,Building,m3,4093.90232649813
2025-04-23,Laying steel rail,Railway,m,4278.4071197894245
2025-08-21,Anchorage,Railway,m2,3204.971358604778
2025-07-08,Foundation pouring,Building,m3,1043.0536122546446
2025-09-12,Coat preparation,Road,L,2226.109850949122
2025-07-15,Anchorage,Railway,m2,3837.1035201564537
2025-03-23,Coat preparation,Road,L,3756.277557708577
2025-01-01,Anchorage,Railway,m2,4373.611708801886
2025-11-11,Iron mining,Railway,m3,4424.725314855915
2025-07-13,Rolling/Tractor,Road,m2,3769.8167527100386
2025-12-17,Rolling/Tractor,Road,m2,3535.4878533602014
2025-05-24,Pavement,Road,m2,4667.5969301808855
2025-02-04,Foundation pouring,Building,m3,2046.9658923256106
2025-01-24,Iron mining,Railway,m3,894.3114915777106
2025-04-13,Subbase application,Road,m2,2379.1950029832847
2025-06-14,Terrain leveling,Building,m3,1369.6675596991308
2025-06-09,Laying steel rail,Railway,m,1032.6548368840072
2025-02-02,Rolling/Tractor,Road,m2,1908.242475650922
2025-10-24,Foundation pouring,Building,m3,714.8681171589882
2025-08-10,Foundation pouring,Building,m3,2338.3662949284058
2025-08-03,Removing trees,Building,m2,4968.813400005376
2025-09-23,Laying steel rail,Railway,m,3406.4299279004867
2025-10-26,Laying steel rail,Railway,m,1028.9780197878656
2025-09-13,Removing trees,Building,m2,4320.894460102442
2025-07-03,Anchorage,Railway,m2,3379.7071399779547
2025-05-18,Removing trees,Building,m2,4431.289045070402
2025-03-14,Rolling/Tractor,Road,m2,2823.743113825376
2025-12-11,Laying steel rail,Railway,m,462.6121410162948
2025-07-24,Anchorage,Railway,m2,588.2610636898283
2025-08-14,Iron mining,Railway,m3,1322.4964921318149
2025-08-04,Laying steel rail,Railway,m,2387.4187276614716
2025-02-03,Walling,Building,m2,2764.3202319635657
2025-05-15,Removing trees,Building,m2,4444.9583940746315
2025-12-04,Foundation pouring,Building,m3,1980.6107436287957
2025-09-09,Anchorage,Railway,m2,2262.6192137498706
2025-07-13,Rolling/Tractor,Road,m2,2483.3866551904853
2025-02-13,Removing trees,Building,m2,3639.27731906759
2025-09-19,Pavement,Road,m2,726.7420648330542
2025-07-09,Walling,Building,m2,1825.4852012072226
2025-02-16,Coat preparation,Road,L,776.5389327448707
2025-01-09,Terrain leveling,Building,m3,2196.4215782605256
2025-11-15,Anchorage,Railway,m2,726.5064480780287
2025-11-06,Rolling/Tractor,Road,m2,4885.575850820937
2025-05-28,Subbase application,Road,m2,402.65163139006967
2025-11-29,Terrain leveling,Building,m3,118.5399666228204
2025-09-12,Walling,Building,m2,3451.374977632279
2025-03-19,Foundation pouring,Building,m3,2682.1907627430737
2025-02-16,Iron mining,Railway,m3,2043.1143592815886
2025-03-11,Subbase application,Road,m2,4954.8303990142385
2025-11-16,Coat preparation,Road,L,3874.1669006352554
2025-12-22,Iron mining,Railway,m3,1087.3912077709235
2025-04-11,Foundation pouring,Building,m3,755.3763525530743
2025-09-28,Cement making,Building,m3,378.86522312950257
2025-02-17,Rolling/Tractor,Road,m2,1037.815411230104
2025-02-14,Ballast,Railway,m3,4229.31436798599
2025-12-06,Removing trees,Building,m2,4252.019129695779
2025-03-21,Laying steel rail,Railway,m,4614.173500847823
2025-01-08,Rolling/Tractor,Road,m2,1297.6687507850165
2025-11-07,Rolling/Tractor,Road,m2,3121.4434980677356
2025-11-28,Terrain leveling,Building,m3,93.21696024543024
2025-01-13,Subbase application,Road,m2,3780.558172057909
2025-09-12,Foundation pouring,Building,m3,917.4724852470412
2025-02-15,Terrain leveling,Building,m3,2224.3169427522553
2025-06-11,Cement making,Building,m3,3494.7039056499398
2025-01-31,Cement making,Building,m3,2933.823142807673
2025-05-01,Anchorage,Railway,m2,797.8093570344436
2025-05-26,Iron mining,Railway,m3,4175.729098116739
2025-01-02,Ballast,Railway,m3,1286.3726660252444
2025-10-03,Ballast,Railway,m3,740.53047204785
2025-05-09,Ballast,Railway,m3,3933.159640624955
2025-06-26,Subbase application,Road,m2,3203.797951236732
2025-10-21,Walling,Building,m2,608.3888026572165
2025-02-11,Pavement,Road,m2,2367.1017878641082
2025-01-17,Iron mining,Railway,m3,729.8747176447723
2025-04-19,Subbase application,Road,m2,984.3424529482692
2025-07-13,Foundation pouring,Building,m3,3202.211792895116
2025-06-05,Subbase application,Road,m2,4269.0266563755795
2025-05-23,Walling,Building,m2,3572.2396870907137
2025-07-14,Coat preparation,Road,L,4919.834483403622
2025-07-14,Ballast,Railway,m3,2643.172258541281
2025-03-30,Ballast,Railway,m3,4141.130294362635
2025-08-30,Terrain leveling,Building,m3,4997.43627075011
2025-01-24,Foundation pouring,Building,m3,3001.7606110300676
2025-12-05,Anchorage,Railway,m2,2569.2616969029973
2025-02-16,Laying steel rail,Railway,m,4333.805366856694
2025-12-12,Subbase application,Road,m2,3532.595749693964
2025-07-08,Terrain leveling,Building,m3,1571.5474773276412
2025-11-11,Coat preparation,Road,L,3887.5503390853955
2025-11-16,Removing trees,Building,m2,2552.8015663479464
2025-06-17,Pavement,Road,m2,2658.2688956338197
2025-02-23,Subbase application,Road,m2,2417.2775721503426
2025-08-03,Rolling/Tractor,Road,m2,3085.155669003066
2025-10-13,Removing trees,Building,m2,4641.6165943415745
2025-05-28,Ballast,Railway,m3,1492.5198967090525
2025-05-28,Rolling/Tractor,Road,m2,3734.2396364452557
2025-02-04,Cement making,Building,m3,2135.940596123753
2025-09-08,Subbase application,Road,m2,695.7239107272001
2025-01-13,Anchorage,Railway,m2,638.483881169608
2025-12-04,Ballast,Railway,m3,536.9307452172262
2025-06-30,Laying steel rail,Railway,m,3077.1322455945065
2025-02-23,Pavement,Road,m2,2676.8213810044367
2025-08-06,Anchorage,Railway,m2,3205.614006532386
2025-08-28,Iron mining,Railway,m3,4138.44626754072
2025-10-14,Iron mining,Railway,m3,2131.8039414023533
2025-11-28,Coat preparation,Road,L,4082.9768032436446
2025-12-16,Coat preparation,Road,L,4300.971167601532
2025-10-30,Ballast,Railway,m3,2310.263396068729
2025-01-23,Foundation pouring,Building,m3,4273.678276963227
2025-02-05,Removing trees,Building,m2,86.99509383541748
2025-12-20,Walling,Building,m2,2291.7974498329836
2025-03-28,Terrain leveling,Building,m3,1701.2461698768661
2025-01-14,Terrain leveling,Building,m3,4369.9584651979685
2025-12-24,Subbase application,Road,m2,4880.523646503246
2025-10-10,Laying steel rail,Railway,m,1864.2448884403457
2025-11-06,Walling,Building,m2,2029.2685486357043
2025-05-19,Ballast,Railway,m3,495.9117408379676
2025-05-16,Cement making,Building,m3,1755.3606127780579
2025-12-26,Subbase application,Road,m2,2345.5132761139766
2025-04-28,Subbase application,Road,m2,2462.17346601926
2025-02-22,Pavement,Road,m2,3691.6787002753845
2025-07-28,Iron mining,Railway,m3,716.1250043363576
2025-09-16,Laying steel rail,Railway,m,4917.78521479878
2025-03-02,Pavement,Road,m2,4476.855425584214
2025-07-23,Laying steel rail,Railway,m,1327.2961345735469
2025-10-05,Foundation pouring,Building,m3,3149.8925056687326
2025-05-29,Subbase application,Road,m2,4232.228561277001
2025-07-24,Ballast,Railway,m3,2326.0753068423987
2025-06-26,Rolling/Tractor,Road,m2,3356.1747444592015
2025-05-10,Removing trees,Building,m2,3278.596262437743
2025-12-17,Walling,Building,m2,3529.96967212642
2025-10-04,Iron mining,Railway,m3,2052.1845995849526
2025-10-19,Subbase application,Road,m2,2070.2826194372265
2025-04-30,Removing trees,Building,m2,1788.9385706732535
2025-04-17,Walling,Building,m2,2694.321909198843
2025-10-23,Walling,Building,m2,2765.259805786549
2025-05-18,Removing trees,Building,m2,1522.0441091010223
2025-01-27,Coat preparation,Road,L,3172.2527152792345
2025-07-02,Terrain leveling,Building,m3,694.690321680948
2025-02-11,Rolling/Tractor,Road,m2,4650.213872658706
2025-05-15,Terrain leveling,Building,m3,2548.469850612901
2025-04-13,Iron mining,Railway,m3,4913.20052618238
2025-11-12,Walling,Building,m2,2637.4518640142214
2025-08-29,Ballast,Railway,m3,1883.2764153919584
2025-03-07,Coat preparation,Road,L,3322.290743971224
2025-09-27,Ballast,Railway,m3,3741.3871095725403
2025-07-19,Terrain leveling,Building,m3,2112.747033717064
2025-05-31,Terrain leveling,Building,m3,322.7998999055037
2025-09-02,Laying steel rail,Railway,m,3562.8804603667863
2025-07-07,Walling,Building,m2,1703.9183289634009
2025-07-23,Pavement,Road,m2,1718.499561390206
2025-03-22,Terrain leveling,Building,m3,4492.674107007451
2025-01-09,Removing trees,Building,m2,2966.504292120656
2025-01-14,Iron mining,Railway,m3,2829.6221599887435
2025-04-27,Iron mining,Railway,m3,3554.1135055001887
2025-11-26,Anchorage,Railway,m2,998.6979848483712
2025-01-20,Anchorage,Railway,m2,1060.9424516087063
2025-12-12,Laying steel rail,Railway,m,4637.102098450796
2025-11-01,Coat preparation,Road,L,2106.181051866784
2025-12-29,Laying steel rail,Railway,m,1109.079678458832
2025-10-30,Walling,Building,m2,1553.7940624943574
2025-03-27,Anchorage,Railway,m2,2688.982434112645
2025-09-05,Walling,Building,m2,4297.167629483666
2025-04-01,Foundation pouring,Building,m3,3789.8056959986966
2025-01-13,Anchorage,Railway,m2,4326.773463464265
2025-03-10,Walling,Building,m2,813.655271156381
2025-09-09,Foundation pouring,Building,m3,535.4202031103794
2025-10-12,Subbase application,Road,m2,2013.9412152979846
2025-07-31,Removing trees,Building,m2,2530.0714816478003
2025-03-22,Pavement,Road,m2,4503.529575201719
2025-09-29,Cement making,Building,m3,1390.982380468831
2025-01-10,Laying steel rail,Railway,m,4660.991726045741
2025-02-09,Removing trees,Building,m2,751.3595561061626
2025-02-09,Foundation pouring,Building,m3,355.2321807709685
2025-11-21,Ballast,Railway,m3,2026.5790670180545
2025-11-21,Removing trees,Building,m2,3788.279440200021
2025-12-01,Walling,Building,m2,2973.273612449692
2025-06-11,Terrain leveling,Building,m3,242.40328532397214
2025-08-15,Foundation pouring,Building,m3,736.7678212582762
2025-10-30,Rolling/Tractor,Road,m2,2490.855382506979
2025-04-29,Terrain leveling,Building,m3,991.2224903993405
2025-06-07,Walling,Building,m2,205.67439574311786
2025-05-10,Removing trees,Building,m2,3890.63673027791
2025-03-23,Foundation pouring,Building,m3,1969.7911938184088
2025-08-10,Pavement,Road,m2,140.12287947925694
2025-11-15,Terrain leveling,Building,m3,807.1143098715544
2025-10-12,Laying steel rail,Railway,m,2234.560879909426
2025-07-01,Terrain leveling,Building,m3,2800.7607016921015
2025-03-25,Subbase application,Road,m2,4574.1703906107605
2025-05-26,Removing trees,Building,m2,2927.869941229578
2025-03-17,Pavement,Road,m2,2891.412677506638
2025-11-25,Rolling/Tractor,Road,m2,4735.648861999619
2025-06-06,Rolling/Tractor,Road,m2,3958.0161477955867
2025-04-06,Laying steel rail,Railway,m,687.9300206321726
2025-10-24,Pavement,Road,m2,2491.255025467781
2025-06-02,Anchorage,Railway,m2,1679.486663262566
2025-12-20,Removing trees,Building,m2,2260.7231952882025
2025-01-08,Subbase application,Road,m2,1335.877613787521
2025-06-14,Iron mining,Railway,m3,4685.926467880716
2025-07-23,Terrain leveling,Building,m3,3763.3395083794794
2025-06-25,Cement making,Building,m3,2395.636841923737
2025-04-22,Walling,Building,m2,594.1995462203065
2025-07-06,Coat preparation,Road,L,4836.064148354029
2025-01-25,Terrain leveling,Building,m3,1680.8406637362732
2025-08-03,Ballast,Railway,m3,2719.8101314917803
2025-08-09,Foundation pouring,Building,m3,1052.162192083807
2025-04-22,Anchorage,Railway,m2,913.9890465770295
2025-06-07,Cement making,Building,m3,4671.88644692859
2025-01-14,Removing trees,Building,m2,2895.8840340461443
2025-07-18,Foundation pouring,Building,m3,773.4590843031814
2025-07-18,Terrain leveling,Building,m3,2639.51429965344
2025-02-06,Subbase application,Road,m2,2721.5754968734536
2025-10-13,Coat preparation,Road,L,2327.3288665961045
2025-07-17,Removing trees,Building,m2,4329.782565726867
2025-07-22,Ballast,Railway,m3,558.1181997445772
2025-11-18,Foundation pouring,Building,m3,695.7991368844613
2025-05-14,Walling,Building,m2,4304.711927473724
2025-01-17,Terrain leveling,Building,m3,3984.1641581589834
2025-03-07,Pavement,Road,m2,3182.0566641591436
2025-09-13,Walling,Building,m2,2256.9566640172206
2025-09-21,Subbase application,Road,m2,3146.163759111314
2025-06-22,Subbase application,Road,m2,4729.377728679673
2025-08-02,Subbase application,Road,m2,3444.8730645411074
2025-01-20,Laying steel rail,Railway,m,4494.092756280311
2025-03-22,Laying steel rail,Railway,m,4979.474074167128
2025-03-14,Cement making,Building,m3,3336.890010795817
2025-10-12,Ballast,Railway,m3,568.3963527402847
2025-01-15,Laying steel rail,Railway,m,261.3212681532567
2025-09-01,Subbase application,Road,m2,396.25453912155496
2025-05-09,Iron mining,Railway,m3,3490.793292658733
2025-11-14,Anchorage,Railway,m2,8.70024020924065
2025-08-17,Iron mining,Railway,m3,4246.723075737868
2025-11-11,Ballast,Railway,m3,4010.3657151296447
2025-03-23,Subbase application,Road,m2,1468.8457443289017
2025-02-12,Cement making,Building,m3,2433.6300536105437
2025-12-14,Laying steel rail,Railway,m,790.9740109104769
2025-06-18,Foundation pouring,Building,m3,1973.310492856211
2025-02-08,Foundation pouring,Building,m3,4689.1936532420905
2025-02-05,Subbase application,Road,m2,2689.386299967232
2025-01-29,Terrain leveling,Building,m3,1440.7793670915348
2025-11-01,Anchorage,Railway,m2,3738.557651119649
2025-03-07,Terrain leveling,Building,m3,3766.544329167069
2025-08-05,Iron mining,Railway,m3,1437.2864202628393
2025-04-29,Iron mining,Railway,m3,3156.7631481419694
2025-03-02,Walling,Building,m2,3824.762860349896
2025-10-04,Terrain leveling,Building,m3,2515.5016817803094
2025-03-15,Cement making,Building,m3,584.2097339766467
2025-10-08,Subbase application,Road,m2,3998.778919601568
2025-11-12,Coat preparation,Road,L,3004.6162618498565
2025-07-30,Pavement,Road,m2,4601.474574993812
2025-01-25,Rolling/Tractor,Road,m2,3791.3630924624804
2025-08-30,Anchorage,Railway,m2,1983.680246927425
2025-06-04,Rolling/Tractor,Road,m2,1241.5504089478009
2025-05-14,Coat preparation,Road,L,271.0122306734225
2025-01-13,Rolling/Tractor,Road,m2,225.88671338018506
2025-10-24,Anchorage,Railway,m2,4651.408468773962
2025-08-11,Cement making,Building,m3,1810.802373316155
2025-11-27,Anchorage,Railway,m2,1793.6155862191106
2025-09-28,Laying steel rail,Railway,m,3318.454488834908
2025-11-28,Coat preparation,Road,L,1684.8277544763434
2025-04-17,Cement making,Building,m3,2374.330481830461
2025-01-13,Rolling/Tractor,Road,m2,1916.0200957620082
2025-05-20,Ballast,Railway,m3,1607.4036684190241
2025-07-23,Anchorage,Railway,m2,707.0539126234171
2025-02-04,Anchorage,Railway,m2,4330.843777687778
2025-08-23,Iron mining,Railway,m3,767.640054657604
2025-05-21,Laying steel rail,Railway,m,786.0628890828775
2025-07-05,Subbase application,Road,m2,2127.0981100145245
2025-08-09,Terrain leveling,Building,m3,1532.7112666255189
2025-11-08,Terrain leveling,Building,m3,3262.309356694737
2025-07-19,Coat preparation,Road,L,4824.830660840972
2025-02-02,Anchorage,Railway,m2,2620.464104684784
2025-02-03,Removing trees,Building,m2,3450.7745151835284
2025-08-02,Pavement,Road,m2,1116.6500786061001
2025-11-09,Cement making,Building,m3,4513.187577668576
2025-02-27,Subbase application,Road,m2,3515.90785133958
2025-03-17,Removing trees,Building,m2,1076.096279428922
2025-09-06,Rolling/Tractor,Road,m2,1149.345297814096
2025-10-13,Coat preparation,Road,L,3959.2102199894457
2025-03-02,Pavement,Road,m2,12.891625978432852
2025-10-20,Rolling/Tractor,Road,m2,1274.4341949967813
2025-07-29,Pavement,Road,m2,4538.286682922459
2025-08-14,Ballast,Railway,m3,4495.286466893572
2025-11-26,Laying steel rail,Railway,m,4776.330484380879
2025-07-02,Foundation pouring,Building,m3,1954.7377406257194
2025-11-12,Ballast,Railway,m3,194.0142285478058
2025-04-03,Foundation pouring,Building,m3,1068.6143189329584
2025-06-09,Pavement,Road,m2,46.054052807827375
2025-07-13,Anchorage,Railway,m2,1277.2230351442943
2025-12-02,Anchorage,Railway,m2,4358.060119293025
2025-10-18,Subbase application,Road,m2,3543.7016557037377
2025-06-14,Terrain leveling,Building,m3,957.9725732780591
2025-03-17,Ballast,Railway,m3,4209.590471132248
2025-07-11,Foundation pouring,Building,m3,2953.7540077224594
2025-04-08,Removing trees,Building,m2,4411.462707161913
2025-11-04,Anchorage,Railway,m2,4302.260149963778
2025-03-30,Laying steel rail,Railway,m,4041.7035513686665
2025-02-23,Foundation pouring,Building,m3,3104.7424565667793
2025-12-11,Removing trees,Building,m2,185.64494402686037
2025-10-05,Walling,Building,m2,1440.9356644734933
2025-04-23,Coat preparation,Road,L,4989.560787528585
2025-12-06,Cement making,Building,m3,592.9201064991607
2025-01-11,Walling,Building,m2,1272.1985172149514
2025-07-31,Anchorage,Railway,m2,1573.0439474201246
2025-03-23,Removing trees,Building,m2,4758.645059257201
2025-10-11,Iron mining,Railway,m3,852.6669698930529
2025-07-28,Laying steel rail,Railway,m,4320.836286339101
2025-06-18,Anchorage,Railway,m2,1970.2087631031889
2025-07-02,Iron mining,Railway,m3,2894.7450421882127
2025-01-18,Iron mining,Railway,m3,2392.229232036743
2025-02-21,Coat preparation,Road,L,2010.4129834042317
2025-01-16,Subbase application,Road,m2,208.65116734820998
2025-03-25,Rolling/Tractor,Road,m2,1927.103596087656
2025-06-01,Ballast,Railway,m3,3295.7781854738873
2025-01-13,Pavement,Road,m2,2880.887888759668
2025-07-26,Laying steel rail,Railway,m,4795.834608480864
2025-09-12,Subbase application,Road,m2,3704.2491203770046
2025-05-13,Ballast,Railway,m3,3691.1265759281214
2025-07-16,Foundation pouring,Building,m3,3204.513215598041
2025-07-27,Pavement,Road,m2,4930.72159283425
2025-10-04,Laying steel rail,Railway,m,2937.1315266655865
2025-03-21,Ballast,Railway,m3,4768.276158345304
2025-06-16,Coat preparation,Road,L,3987.529801843377
2025-06-20,Removing trees,Building,m2,2446.193610142875
2025-05-07,Ballast,Railway,m3,3797.1858873613796
2025-07-07,Pavement,Road,m2,3102.9180017102167
2025-09-01,Foundation pouring,Building,m3,4011.028032726866
2025-12-25,Foundation pouring,Building,m3,4260.510243252136
2025-06-20,Foundation pouring,Building,m3,3468.7094769166642
2025-07-16,Removing trees,Building,m2,2676.6983557108165
2025-09-22,Removing trees,Building,m2,4355.769080071126
2025-05-03,Removing trees,Building,m2,1911.7491010307192
2025-08-27,Pavement,Road,m2,3825.4413387041855
2025-05-09,Ballast,Railway,m3,1092.5130492284907
2025-01-18,Removing trees,Building,m2,1110.643750061654
2025-03-08,Iron mining,Railway,m3,964.9931455970517
2025-10-02,Subbase application,Road,m2,3890.495939832857
2025-06-16,Ballast,Railway,m3,1058.2838780814525
2025-09-09,Terrain leveling,Building,m3,938.0761622866696
2025-04-10,Ballast,Railway,m3,2266.598402578103
2025-12-18,Laying steel rail,Railway,m,1446.8054409597657
2025-06-05,Iron mining,Railway,m3,3256.620554444261
2025-07-14,Anchorage,Railway,m2,3862.066079770391
2025-04-07,Iron mining,Railway,m3,4173.198592328575
2025-01-22,Rolling/Tractor,Road,m2,2091.9873838003846
2025-04-04,Anchorage,Railway,m2,2230.4624594230395
2025-02-28,Anchorage,Railway,m2,4055.6942321171223
2025-11-25,Rolling/Tractor,Road,m2,5.171309369643162
2025-11-12,Anchorage,Railway,m2,3177.059645292591
2025-02-06,Pavement,Road,m2,2896.242948730359
2025-12-09,Coat preparation,Road,L,2534.798734950123
2025-01-16,Foundation pouring,Building,m3,3065.1106063512325
2025-06-25,Cement making,Building,m3,3432.682382516072
2025-04-03,Terrain leveling,Building,m3,1746.3136863701811
2025-05-03,Terrain leveling,Building,m3,513.1624186578609
2025-04-01,Removing trees,Building,m2,2621.423580129152
2025-10-17,Pavement,Road,m2,1669.6167259547617
2025-09-13,Iron mining,Railway,m3,3721.3103284381327
2025-10-27,Cement making,Building,m3,3741.9356044457
2025-11-02,Anchorage,Railway,m2,3285.4859879689084
2025-08-25,Coat preparation,Road,L,4741.844570923882
2025-07-03,Foundation pouring,Building,m3,3120.8382444083254
2025-09-21,Subbase application,Road,m2,1442.1491552527798
2025-01-21,Cement making,Building,m3,2207.8643232426425
2025-03-17,Removing trees,Building,m2,981.3046653764557
2025-06-21,Anchorage,Railway,m2,4777.30024702266
2025-07-20,Foundation pouring,Building,m3,3444.0583925039705
2025-12-06,Pavement,Road,m2,3484.930211577857
2025-12-25,Cement making,Building,m3,552.4564190092285
2025-03-05,Removing trees,Building,m2,42.88614679561098
2025-09-23,Anchorage,Railway,m2,870.687935007995
2025-12-12,Ballast,Railway,m3,2101.7655713791655
2025-07-24,Foundation pouring,Building,m3,3632.8896790110775
2025-03-07,Iron mining,Railway,m3,933.685773372383
2025-01-12,Rolling/Tractor,Road,m2,4145.333945618608
2025-01-26,Coat preparation,Road,L,640.5749252921378
2025-11-02,Removing trees,Building,m2,1002.9598572286413
2025-09-28,Ballast,Railway,m3,37.58610105878135
2025-05-28,Subbase application,Road,m2,2263.909508442869
2025-01-12,Foundation pouring,Building,m3,855.8943117720253
